Matt Olson, 3800, 1B, 10.63, 6.70, OAK, BAL
Scooter Gennett, 3700, 2B, 13.59, 6.15, CIN, MIA
Chris Taylor, 3700, OF, 12.79, 8.15, LAD, SD 
Brian McCann, 3600, C, 10.65, 6.21, HOU, ARI
Derek Fisher, 3600, OF, 10.63, 4.07, HOU, ARI
Billy Hamilton, 3600, OF, 8.60, 5.87, CIN, MIA
Brian Anderson, 3600, 3B/OF, 13.19, 6.94, MIA, CIN
Robinson Cano, 3600, 2B, 11.40, 8.09, SEA, LAA
Ryon Healy, 3600, 1B, 9.63, 8, SEA, LAA
Starlin Castro, 3500, 2B, 12.31, 6.91, MIA, CIN
Kyle Seager, 3500, 3B, 10.84, 6.59, SEA, LAA
Jabari Blash, 3500, OF, 10.22, 0, LAA, SEA
Mark Canha, 3500, 1B/OF, 10.17, 8.05, OAK, BAL
Chad Pinder, 3500, OF, 8.52, 6.06, OAK, BAL
Stephen Piscotty, 3500, OF, 7.78, 5.94, OAK, BAL
Marwin Gonzalez, 3400, 1B/OF, 10.63, 5.75, HOU, ARI
Justin Bour, 3400, 1B, 12.79, 6.4, MIA, CIN
Jesse Winker, 3400, OF, 12.38, 5.57, CIN, MIA
Matt Kemp, 3400, OF, 12.66, 6.61, LAD, SD 
Steven Souza Jr., 3300, OF, 8.54, 1, ARI, HOU
Ian Kinsler, 3300, 2B, 10.56, 5.85, LAA, SEA
Mark Trumbo, 3300, 1B/OF, 8.22, 5.8, BAL, OAK
Pedro Alvarez, 3300, 1B/3B, 9.02, 5.69, BAL, OAK
Nick Ahmed, 3200, SS, 6.74, 7, ARI, HOU
Lewis Brinson, 3200, OF, 11.73, 4.68, MIA, CIN
Martin Prado, 3200, 2B/3B, 11.23, 3.86, MIA, CIN
Mike Zunino, 3200, C, 9.40, 7.31, SEA, LAA
Zack Cozart, 3200, 2B/3B, 9.62, 6.89, LAA, SEA
Manuel Margot, 3200, OF, 8.90, 5.46, SD, LAD
Alex Verdugo, 3200, OF, 9.34, 6, LAD, SD 
Cameron Maybin, 3100, OF, 11.33, 4.06, MIA, CIN
Luis Valbuena, 3100, 1B/3B, 10.59, 5.32, LAA, SEA
Jose Pirela, 3100, 2B/OF, 9.97, 6.62, SD, LAD
Matt Joyce, 3100, OF, 10.23, 4.77, OAK, BAL
Jonathan Lucroy, 3100, C, 7.08, 5.88, OAK, BAL
Tucker Barnhart, 2900, C, 9.51, 5.18, CIN, MIA
Chris Davis, 2900, 1B, 9.39, 4.37, BAL, OAK
Ben Gamel, 2800, OF, 7.75, 3.47, SEA, LAA
Austin Barnes, 2800, C/2B, 11.16, 3.55, LAD, SD 
Freddy Galvis, 2800, SS, 8.77, 5.21, SD, LAD
Jace Peterson, 2800, 2B/OF, 7.60, 6.62, BAL, OAK
Ketel Marte, 2700, 2B, 7.61, 5.53, ARI, HOU
Daniel Descalso, 2700, 2B/3B, 8.58, 5.74, ARI, HOU
Rene Rivera, 2700, C, 7.83, 3.82, LAA, SEA
Travis Jankowski, 2700, OF, 10.00, 5, SD, LAD
Tim Locastro, 2600, 2B, 9.81, 6, LAD, SD 
