Orlando Arcia, 2800, SS, 8.82, 4.46, MIL, CIN
Deven Marrero, 2700, 3B, 6.83, 4.11, ARI, LAD
Wilmer Difo, 2700, 2B/3B, 7.41, 5.21, WAS, PIT
Manny Pina, 2700, C, 9.19, 4.47, MIL, CIN
Danny Valencia, 2700, 3B, 8.18, 5.47, BAL, LAA
Anthony Santander, 2700, OF, 7.46, 4.12, BAL, LAA
Ryan Flaherty, 2700, 3B, 7.38, 7.04, ATL, NYM
Juan Lagares, 2700, OF, 7.91, 3.85, NYM, ATL
Jordy Mercer, 2600, SS, 7.28, 5, PIT, WAS
Alex Blandino, 2600, 2B/3B, 9.24, 3.94, CIN, MIL
Caleb Joseph, 2600, C, 6.00, 2.47, BAL, LAA
Tyler Flowers, 2600, C, 7.80, 1.5, ATL, NYM
Miguel Rojas, 2600, SS, 7.15, 6.21, MIA, PHI
Pedro Severino, 2500, C, 6.92, 5.19, WAS, PIT
Guillermo Heredia, 2500, OF, 8.05, 4.44, SEA, OAK
Martin Maldonado, 2500, C, 6.13, 4.05, LAA, BAL
Jose Lobaton, 2500, C, 6.87, 3.58, NYM, ATL
John Ryan Murphy, 2400, C, 7.00, 3.76, ARI, LAD
Craig Gentry, 2400, OF, 6.74, 3.79, BAL, LAA
Pedro Florimon, 2400, SS, 8.66, 1.73, PHI, MIA
Yadiel Rivera, 2000, 2B/SS, 5.21, 0.90, MIA, PHI
